access.bootstrap	POST	/v1/access/bootstrap
access.tenant.select	POST	/v1/access/tenant/select
access.tenants.list	GET	/v1/access/tenants/list
access.workspace.select	POST	/v1/access/workspace/select
access.workspaces.list	GET	/v1/access/workspaces/list
actions.read	GET	/v1/actions/read
actions.write	POST	/v1/actions/write
auth.access.blocked.read	GET	/v1/auth/access/blocked
auth.consents.accept	POST	/v1/auth/consents
auth.email.verify	POST	/v1/auth/email/verify
auth.logout	POST	/v1/auth/logout
auth.mfa.confirm	POST	/v1/auth/mfa/confirm
auth.mfa.enroll	POST	/v1/auth/mfa/enroll
auth.mfa.verify	POST	/v1/auth/mfa/verify
auth.password.reset	POST	/v1/auth/password/reset
auth.reauthenticate	POST	/v1/auth/reauthenticate
auth.registration.finalize	POST	/v1/auth/registration/finalize
auth.session.read	GET	/v1/auth/session
auth.status.read	GET	/v1/auth/status
campaigns.attribution-sales.read	GET	/v1/campaigns/atrybucja-i-sprzedaz
campaigns.budget.change.propose	POST	/v1/campaigns/budget/proposals
campaigns.budget.read	GET	/v1/campaigns/budzet
campaigns.budget.recommendation.read	GET	/v1/campaigns/budget/recommendation
campaigns.detail.read	GET	/v1/campaigns/szczegoly-kampanii
campaigns.diagnostics.read	GET	/v1/campaigns/diagnostyka
campaigns.list.read	GET	/v1/campaigns/lista-kampanii
campaigns.overview.read	GET	/v1/campaigns/przeglad
campaigns.read	GET	/v1/campaigns/read
campaigns.recommendations.read	GET	/v1/campaigns/rekomendacje-kontekst-domenowy
campaigns.write	POST	/v1/campaigns/write
company.draft.update	PUT	/v1/company/draft
company.lookup	GET	/v1/company/lookup
customers.cohorts.read	GET	/v1/customers/kohorty
customers.identity-conflicts.read	GET	/v1/customers/konflikty-tozsamosci
customers.impact.read	GET	/v1/customers/analiza-wplywu
customers.overview.read	GET	/v1/customers/przeglad
customers.privacy.read	GET	/v1/customers/prywatnosc
customers.pseudonymized-detail.read	GET	/v1/customers/szczegoly-pseudonimizowane
customers.read	GET	/v1/customers/read
customers.segment.analyze	GET	/v1/customers/segment/analyze
customers.segments.read	GET	/v1/customers/segmenty
customers.write	POST	/v1/customers/write
data-quality.conflicts.read	GET	/v1/data-quality/konflikty
data-quality.dataset.read	GET	/v1/data-quality/zbior-danych
data-quality.lineage.read	GET	/v1/data-quality/pochodzenie-danych
data-quality.manual-review.read	GET	/v1/data-quality/przeglad-reczny
data-quality.manual-review.submit	POST	/v1/data-quality/manual-review
data-quality.read	GET	/v1/data-quality/read
data-quality.reconciliation.confirm	POST	/v1/data-quality/reconciliation/confirm
data-quality.reprocess.start	POST	/v1/data-quality/reprocess
data-quality.reprocessing.read	GET	/v1/data-quality/ponowne-przetwarzanie
data-quality.source-overlap.read	GET	/v1/data-quality/nakladanie-zrodel
data-quality.write	POST	/v1/data-quality/write
decisions.action-brief.read	GET	/v1/decisions/brief-dzialania
decisions.action-detail.read	GET	/v1/decisions/szczegoly-dzialania
decisions.action-library.read	GET	/v1/decisions/biblioteka-dzialan
decisions.action.brief.create	POST	/v1/decisions/action-brief
decisions.center.read	GET	/v1/decisions/centrum-decyzji
decisions.decision.record	POST	/v1/decisions/registry
decisions.measurement.read	GET	/v1/decisions/pomiar
decisions.observation.create	POST	/v1/decisions/observations
decisions.observations.read	GET	/v1/decisions/obserwacje
decisions.recommendation.read	GET	/v1/decisions/recommendation
decisions.registry.read	GET	/v1/decisions/rejestr-decyzji
decisions.rekomendacje.read	GET	/v1/decisions/rekomendacje
decisions.relations.read	GET	/v1/decisions/powiazania-z-modulami-i-sprawami
help.home.read	GET	/v1/help/strona-glowna-pomocy
help.procedure-detail.read	GET	/v1/help/szczegoly-procedury
help.procedures.read	GET	/v1/help/procedury
help.read	GET	/v1/help/read
help.results.read	GET	/v1/help/lista-wynikow
help.support-request.read	GET	/v1/help/zgloszenie-wsparcia
help.write	POST	/v1/help/write
integrations.connection-wizard.read	GET	/v1/integrations/kreator-polaczenia
integrations.detail.read	GET	/v1/integrations/szczegoly-integracji
integrations.disconnect.read	GET	/v1/integrations/odlaczenie
integrations.oauth.callback	POST	/v1/integrations/oauth/callback
integrations.provider-outage.read	GET	/v1/integrations/awaria-providera
integrations.reconnect.read	GET	/v1/integrations/ponowne-polaczenie
integrations.reconnect.start	POST	/v1/integrations/reconnect/start
integrations.sync-scope.read	GET	/v1/integrations/zakres-synchronizacji
integrations.sync.resume	POST	/v1/integrations/sync/resume
integrations.sync.start	POST	/v1/integrations/sync/start
integrations.write	POST	/v1/integrations/write
invitation.read	GET	/v1/invitation/read
invitation.reject	POST	/v1/invitation/reject
invitation.request	POST	/v1/auth/invitations/request
mobile.device.manage	POST	/v1/mobile/device/manage
mobile.invite	POST	/v1/mobile/invite
mobile.use	GET	/v1/mobile/use
onboarding.profile.update	PUT	/v1/onboarding/profile
onboarding.progress.read	GET	/v1/onboarding/progress
orders.detail.read	GET	/v1/orders/szczegoly
orders.eksport.read	GET	/v1/orders/eksport
orders.list.read	GET	/v1/orders/lista
orders.os-zdarzen.read	GET	/v1/orders/os-zdarzen
orders.overview.read	GET	/v1/orders/przeglad
orders.porownanie-zrodel.read	GET	/v1/orders/porownanie-zrodel
orders.read	GET	/v1/orders/read
orders.rekoncyliacja-skrot.read	GET	/v1/orders/rekoncyliacja-skrot
orders.write	POST	/v1/orders/write
papa.action-approval.read	GET	/v1/papa/ai-action-approval
papa.actions.read	GET	/v1/papa/ai-actions
papa.ai.action.approve	POST	/v1/papa/ai-actions/approve
papa.ai.action.execute	POST	/v1/papa/ai-actions/execute
papa.ai.action.reject	POST	/v1/papa/ai-actions/reject
papa.ai.action.rollback	POST	/v1/papa/ai-actions/rollback
papa.ai.action.validate	POST	/v1/papa/ai-actions/validate
papa.answer.generate	POST	/v1/papa/answer
papa.answer.read	GET	/v1/papa/odpowiedz-papa
